"seq","stage","check","severity","result","value","detail","time"
1,"Stage 0 — Setup","Run stamped","info","INFO","6bd0c435",NA,2026-08-15 11:08:47.187427
2,"Stage 0 — Setup","Cohort entry","info","INFO","grade 9 in 2022",NA,2026-08-15 11:08:47.234493
3,"Stage 0 — Setup","Years required","info","INFO","4",NA,2026-08-15 11:08:47.236738
4,"Stage 0 — Setup","Duration rule","info","INFO","all_years, >= 200 days/yr",NA,2026-08-15 11:08:47.238754
5,"Stage 0 — Setup","Progression rule","info","INFO","all_years",NA,2026-08-15 11:08:47.240568
6,"Stage 0 — Setup","Days enrolled rule","info","INFO","sum_of_spells",NA,2026-08-15 11:08:47.242684
7,"Stage 0 — Setup","Negative days treatment","info","INFO","floor_zero",NA,2026-08-15 11:08:47.244547
8,"Stage 0 — Setup","Schools in scope","info","INFO","12",NA,2026-08-15 11:08:47.246322
9,"Stage 1 — Load sources","Source loaded: transcript_raw","info","INFO","1,501,192 rows x 9 cols","from cache, written 2026-08-15 10:11",2026-08-15 11:08:48.11465
10,"Stage 1 — Load sources","Source loaded: stu_demographics","info","INFO","119,308 rows x 11 cols","from cache, written 2026-08-15 10:11",2026-08-15 11:08:48.216091
11,"Stage 1 — Load sources","Source loaded: course_coding","info","INFO","4,702 rows x 22 cols","from cache, written 2026-08-15 10:25",2026-08-15 11:08:48.230043
12,"Stage 1 — Load sources","Transcript has expected columns","stop","PASS",NA,"Missing: ",2026-08-15 11:08:48.284519
13,"Stage 1 — Load sources","Demographics has expected columns","stop","PASS",NA,"Missing: ",2026-08-15 11:08:48.286759
14,"Stage 1 — Load sources","Transcript rows","info","INFO","1,501,192",NA,2026-08-15 11:08:48.288699
15,"Stage 1 — Load sources","Demographics rows","info","INFO","119,308",NA,2026-08-15 11:08:48.290667
16,"Stage 2 — Student cleaning","Rename produced all standard columns","stop","PASS","11 columns",NA,2026-08-15 11:08:48.320197
17,"Stage 2 — Student cleaning","Student id and year always present","stop","PASS",NA,NA,2026-08-15 11:08:48.330293
18,"Stage 2 — Student cleaning","Distinct students in raw demographics","info","INFO","51,238",NA,2026-08-15 11:08:48.333958
19,"Stage 2 — Student cleaning","Dates parse: enter date","stop","PASS","119,308 parsed",NA,2026-08-15 11:08:48.83051
20,"Stage 2 — Student cleaning","Dates parse: exit date","stop","PASS","29,192 parsed",NA,2026-08-15 11:08:48.948632
21,"Stage 2 — Student cleaning","Dates missing: exit date","info","INFO","75.5% (90,116 rows)",NA,2026-08-15 11:08:48.951248
22,"Stage 2 — Student cleaning","Dates filled from fallback: exit date -> year end","info","INFO","90,116 (75.5%)",NA,2026-08-15 11:08:50.105462
